method,corruption,online_updates,prior_mass,trials,exploitability_mean,exploitability_stderr,exploitability_p90,paired_improvement_mean,paired_improvement_stderr,paired_win_rate
plus,0.0,4,0.0,100,0.6129240233035437,0.010705417380532545,0.74515913336781,0.0,0.0,0.0
plus,0.0,4,1.0,100,0.3525299541157922,0.006294091488152598,0.4234758019485183,0.2603940691877516,0.011947790567422366,0.98
plus,0.0,4,4.0,100,0.16495266585878032,0.002985306027731669,0.20339650855755265,0.4479713574447634,0.010663067773924059,1.0
plus,0.0,4,16.0,100,0.05842068062497455,0.0011134211090107018,0.07431550336749385,0.5545033426785693,0.010676965757681576,1.0
plus,0.0,4,64.0,100,0.03010653039313191,0.0002414849426229621,0.032992189523332355,0.5828174929104118,0.010718119389760885,1.0
plus,0.0,4,256.0,100,0.030247865778459334,4.444711577901521e-5,0.030763944653756238,0.5826761575250843,0.010705370907528603,1.0
plus,0.0,4,1024.0,100,0.030583019293164947,6.9490359129667235e-6,0.030678016397653298,0.5823410040103788,0.010705288244341558,1.0
plus,0.0,4,4096.0,100,0.03068356497305137,1.2465760671545714e-6,0.030700960583787313,0.5822404583304924,0.010705308787971818,1.0
plus,0.0,16,0.0,100,0.41695571663767184,0.005085924557657945,0.48390860829500215,0.0,0.0,0.0
plus,0.0,16,1.0,100,0.3410742215458555,0.0049017797247351644,0.39932996423391715,0.07588149509181628,0.006163894330786294,0.91
plus,0.0,16,4.0,100,0.28041016795509965,0.00421206951556937,0.3314046265484536,0.13654554868257213,0.006463389375767188,0.97
plus,0.0,16,16.0,100,0.15830121226091703,0.002540200214423119,0.19037979019715995,0.25865450437675475,0.00566821047304076,1.0
plus,0.0,16,64.0,100,0.05990284975471961,0.0009759653292859916,0.0728055905182792,0.35705286688295224,0.005173626445934203,1.0
plus,0.0,16,256.0,100,0.03223901233209639,0.00023550126496637783,0.035097437663947344,0.3847167043055755,0.005100873678986407,1.0
plus,0.0,16,1024.0,100,0.030825503701080705,4.3805346482056436e-5,0.031388270685101964,0.3861302129365912,0.005083641784954629,1.0
plus,0.0,16,4096.0,100,0.030706545767868364,8.7044239508493e-6,0.030808069381295156,0.3862491708698035,0.005085297876380071,1.0
plus,0.0,64,0.0,100,0.2984785898941994,0.004343354890838359,0.3564300363601864,0.0,0.0,0.0
plus,0.0,64,1.0,100,0.2699716916826273,0.003764503230961619,0.32148438404506613,0.02850689821157213,0.0051390021313408255,0.68
plus,0.0,64,4.0,100,0.24403044033801993,0.0036355395121913103,0.2911438467733436,0.05444814955617953,0.005514448011056649,0.82
plus,0.0,64,16.0,100,0.19811435046283005,0.003188496112018048,0.24047769479898154,0.10036423943136942,0.005024251110337059,0.98
plus,0.0,64,64.0,100,0.11856426558232044,0.0020096392623337417,0.14504374828517028,0.17991432431187898,0.004639856786428585,1.0
plus,0.0,64,256.0,100,0.053109779326942164,0.000945907073718137,0.06527136599457901,0.2453688105672573,0.00454901937845799,1.0
plus,0.0,64,1024.0,100,0.03155864369436684,0.00024453728109667287,0.03455643262548791,0.2669199461998326,0.004365168887239075,1.0
plus,0.0,64,4096.0,100,0.030576832990008,5.623239327554998e-5,0.031264233483122385,0.26790175690419143,0.004340885252297983,1.0
plus,0.1,4,0.0,100,0.6129240233035437,0.010705417380532545,0.74515913336781,0.0,0.0,0.0
plus,0.1,4,1.0,100,0.3637588264583514,0.006510632862895285,0.44870205525034434,0.24916519684519234,0.012061805003630018,0.99
plus,0.1,4,4.0,100,0.18040630893336193,0.0030376781923204107,0.21853635590977522,0.4325177143701818,0.011096198470827196,1.0
plus,0.1,4,16.0,100,0.08449572861953734,0.0012384092969171937,0.10071965367022302,0.5284282946840064,0.010880318122040423,1.0
plus,0.1,4,64.0,100,0.06279221562945814,0.00027742493825488185,0.06621112851453721,0.5501318076740856,0.010737477698288122,1.0
plus,0.1,4,256.0,100,0.06149805894349691,5.21628171413651e-5,0.06212044919652936,0.551425964360047,0.010709208358711229,1.0
plus,0.1,4,1024.0,100,0.061331483550536935,9.70430739274295e-6,0.06145707568436734,0.5515925397530068,0.010706111827937764,1.0
plus,0.1,4,4096.0,100,0.06132573161059101,1.8462181838275758e-6,0.06135094104736416,0.5515982916929527,0.010705528147407396,1.0
plus,0.1,16,0.0,100,0.41695571663767184,0.005085924557657945,0.48390860829500215,0.0,0.0,0.0
plus,0.1,16,1.0,100,0.3500478386891351,0.004284667660137163,0.40421898034173587,0.06690787794853673,0.005653668705565983,0.89
plus,0.1,16,4.0,100,0.28878735104026426,0.003689723982832431,0.3362310316431163,0.12816836559740763,0.006299163228972655,0.96
plus,0.1,16,16.0,100,0.1730817910846707,0.0024601484647340686,0.20257291110943587,0.2438739255530011,0.005741835817386213,1.0
plus,0.1,16,64.0,100,0.086671933487285,0.0010204443130313174,0.09971317284981426,0.3302837831503868,0.005166539731827353,1.0
plus,0.1,16,256.0,100,0.06388338524050684,0.00024907154539826514,0.06680835058143846,0.3530723313971651,0.005088777991638311,1.0
plus,0.1,16,1024.0,100,0.06198078354286605,5.685825666320813e-5,0.0627043233478675,0.35497493309480577,0.005084229613573862,1.0
plus,0.1,16,4096.0,100,0.061463582810175214,1.1609643029341973e-5,0.061605724887927926,0.3554921338274966,0.005085439032328238,1.0
plus,0.1,64,0.0,100,0.2984785898941994,0.004343354890838359,0.3564300363601864,0.0,0.0,0.0
plus,0.1,64,1.0,100,0.2760882139703794,0.003848473901362534,0.3149862923338884,0.02239037592382009,0.004834546980900313,0.67
plus,0.1,64,4.0,100,0.2534755944995928,0.0036553437058092853,0.3050347901049268,0.045002995394606664,0.005392558330347185,0.84
plus,0.1,64,16.0,100,0.21025534862349946,0.002852057254586643,0.2422719259553176,0.08822324127069998,0.004606541579324062,0.97
plus,0.1,64,64.0,100,0.13334533197052167,0.0023315177504961817,0.16159536213049197,0.1651332579236778,0.00443749493130896,1.0
plus,0.1,64,256.0,100,0.0804219574521998,0.0009504195521880651,0.09108819519283748,0.2180566324419997,0.004314217916460993,1.0
plus,0.1,64,1024.0,100,0.06300239540237088,0.00026491320767383687,0.066091793393076,0.2354761944918286,0.004362823107164038,1.0
plus,0.1,64,4096.0,100,0.06163101873069341,5.48774376813604e-5,0.062431423108020564,0.23684757116350602,0.004330873417736021,1.0
plus,0.25,4,0.0,100,0.6129240233035437,0.010705417380532545,0.74515913336781,0.0,0.0,0.0
plus,0.25,4,1.0,100,0.3891257233017832,0.006366261642987254,0.4752717426911538,0.22379830000176068,0.010935646287440185,0.99
plus,0.25,4,4.0,100,0.2223588273932977,0.003419355789182816,0.2682232413608012,0.3905651959102461,0.011338257220445503,1.0
plus,0.25,4,16.0,100,0.1356337864401421,0.001326567668324805,0.15494349283079342,0.4772902368634016,0.011078074095577676,1.0
plus,0.25,4,64.0,100,0.11529329750246373,0.00032442857806170915,0.11921007975175504,0.49763072580108003,0.010773870102648889,1.0
plus,0.25,4,256.0,100,0.11329686537690999,6.066138637625488e-5,0.11412510414116955,0.4996271579266338,0.010720337418867288,1.0
plus,0.25,4,1024.0,100,0.11315680993362336,1.2032474137563235e-5,0.11330185562837683,0.49976721336992047,0.010707719949518333,1.0
plus,0.25,4,4096.0,100,0.11313409247302593,2.4675996090260895e-6,0.11316170985843856,0.4997899308305179,0.010705788913105486,1.0
plus,0.25,16,0.0,100,0.41695571663767184,0.005085924557657945,0.48390860829500215,0.0,0.0,0.0
plus,0.25,16,1.0,100,0.35816668018422054,0.004305228072520285,0.41171097304426707,0.05878903645345123,0.005694820446627521,0.84
plus,0.25,16,4.0,100,0.30422207713225224,0.004213298534611617,0.3536143693524931,0.11273363950541958,0.006468556651633423,0.96
plus,0.25,16,16.0,100,0.20233729792241587,0.002576104024100583,0.23392732489629556,0.21461841871525597,0.005776788703534316,1.0
plus,0.25,16,64.0,100,0.13548682546772847,0.0008829153426198726,0.1470983400723029,0.2814688911699433,0.005246219662262226,1.0
plus,0.25,16,256.0,100,0.11500218811681087,0.0002894974140455164,0.11868696013671153,0.30195352852086094,0.005097843557005621,1.0
plus,0.25,16,1024.0,100,0.11332753161979153,6.028982189543894e-5,0.11396882509822548,0.30362818501788025,0.005082676219683716,1.0
plus,0.25,16,4096.0,100,0.11322696470238305,1.1431140454744013e-5,0.11335312736235174,0.30372875193528875,0.005083843773127864,1.0
plus,0.25,64,0.0,100,0.2984785898941994,0.004343354890838359,0.3564300363601864,0.0,0.0,0.0
plus,0.25,64,1.0,100,0.2767617579521318,0.0035868727622266707,0.31585988830641015,0.02171683194206766,0.004983448548987903,0.66
plus,0.25,64,4.0,100,0.2651128842843145,0.0033183086847813257,0.3110256206439224,0.033365705609884985,0.004892218431016772,0.77
plus,0.25,64,16.0,100,0.22384686027544803,0.0028184017026132878,0.2557883364092175,0.07463172961875147,0.0048700737177238985,0.95
plus,0.25,64,64.0,100,0.16576430765730385,0.0017487132802628702,0.1847888844530889,0.1327142822368956,0.0043873613427984305,1.0
plus,0.25,64,256.0,100,0.12407748764959659,0.0008796352947105844,0.13384839355104658,0.17440110224460287,0.004210238798167006,1.0
plus,0.25,64,1024.0,100,0.11273764294452344,0.0002402745184667887,0.11558580663704944,0.18574094694967602,0.00430182645144057,1.0
plus,0.25,64,4096.0,100,0.11305146749763666,6.552328093521478e-5,0.11392338972245683,0.1854271223965628,0.004326576763770257,1.0
plus,0.5,4,0.0,100,0.6129240233035437,0.010705417380532545,0.74515913336781,0.0,0.0,0.0
plus,0.5,4,1.0,100,0.4329520741438235,0.005791647371135454,0.5071337677353858,0.17997194915972034,0.011818383066093544,0.93
plus,0.5,4,4.0,100,0.3256483859457067,0.0036184131049863894,0.3745906326433235,0.28727563735783707,0.011554222477586045,1.0
plus,0.5,4,16.0,100,0.2553779388183475,0.0012304450852675202,0.2736587103748342,0.35754608448519626,0.010976958330998151,1.0
plus,0.5,4,64.0,100,0.22035222172925675,0.000301170165809247,0.2246945888468792,0.392571801574287,0.010739325639906393,1.0
plus,0.5,4,256.0,100,0.21270860158950491,5.7997812828409825e-5,0.21344445942720086,0.4002154217140388,0.010705063180234998,1.0
plus,0.5,4,1024.0,100,0.21030653813298442,1.197901561326306e-5,0.21045926958391,0.4026174851705593,0.010705347886915826,1.0
plus,0.5,4,4096.0,100,0.20958819656953115,2.8513423997752193e-6,0.20962270767952396,0.4033358267340126,0.010705373047115439,1.0
plus,0.5,16,0.0,100,0.41695571663767184,0.005085924557657945,0.48390860829500215,0.0,0.0,0.0
plus,0.5,16,1.0,100,0.3872919228397661,0.0055105303481392766,0.45200576328905107,0.029663793797905725,0.007481637856905305,0.65
plus,0.5,16,4.0,100,0.35357443846384784,0.0043001271133008764,0.41286328580934145,0.06338127817382393,0.0070707371287689145,0.8
plus,0.5,16,16.0,100,0.2884606071237423,0.0029013846583054,0.3234304286012201,0.12849510951392953,0.0057009448846844415,0.99
plus,0.5,16,64.0,100,0.23585117093237476,0.0008467391320508236,0.24498554110913648,0.1811045457052971,0.005246471873345518,1.0
plus,0.5,16,256.0,100,0.21434945960565127,0.00026925115588501245,0.21772314550970687,0.20260625703202056,0.005093724185049539,1.0
plus,0.5,16,1024.0,100,0.21142726971449935,5.943768145203275e-5,0.21220657371973115,0.2055284469231725,0.005085086754660934,1.0
plus,0.5,16,4096.0,100,0.21017781617999276,9.917888006782438e-6,0.2103119645726976,0.20677790045767908,0.005084730998874697,1.0
plus,0.5,64,0.0,100,0.2984785898941994,0.004343354890838359,0.3564300363601864,0.0,0.0,0.0
plus,0.5,64,1.0,100,0.2860504640581881,0.003994134377964979,0.33825441690080327,0.012428125836011343,0.005437450733712463,0.62
plus,0.5,64,4.0,100,0.2832636892229576,0.003974231475688185,0.3355532373329214,0.015214900671241854,0.005377008741572261,0.62
plus,0.5,64,16.0,100,0.26355138464832967,0.0032580626647848825,0.30026942348951946,0.034927205245869834,0.004868565502758389,0.78
plus,0.5,64,64.0,100,0.23251184458136323,0.0019497953457280077,0.25742872822675156,0.06596674531283626,0.004414102746286679,0.94
plus,0.5,64,256.0,100,0.2140226454018171,0.000845958048607896,0.2237287296088122,0.08445594449238238,0.004534024884563314,0.97
plus,0.5,64,1024.0,100,0.20826817648419677,0.0003103699765323744,0.21212525109875627,0.09021041341000269,0.0043622166198498125,0.98
plus,0.5,64,4096.0,100,0.20950338309253436,6.0809512608986434e-5,0.2102276179103863,0.08897520680166511,0.0043539233615079095,0.98
plus,0.75,4,0.0,100,0.6129240233035437,0.010705417380532545,0.74515913336781,0.0,0.0,0.0
plus,0.75,4,1.0,100,0.4826526028204825,0.004596618937768946,0.5388112776999255,0.13027142048306128,0.01200099285155825,0.83
plus,0.75,4,4.0,100,0.42168107337680394,0.002788317518363429,0.45572553409708677,0.19124294992673974,0.011335627795216328,0.97
plus,0.75,4,16.0,100,0.36952904818044574,0.0012512953212711943,0.3857616269675722,0.24339497512309807,0.01086698873138645,1.0
plus,0.75,4,64.0,100,0.34374209981463955,0.00025572061364242233,0.3469522959626614,0.2691819234889042,0.010733044650138593,1.0
plus,0.75,4,256.0,100,0.33803409926547123,4.7590664677038395e-5,0.33863193345560677,0.2748899240380726,0.010703132011756029,1.0
plus,0.75,4,1024.0,100,0.33616373921134884,9.534542793958418e-6,0.33628415818612445,0.2767602840921949,0.010705057824204393,1.0
plus,0.75,4,4096.0,100,0.3355554947440867,2.129677493453845e-6,0.33557827731358203,0.27736852855945704,0.010705513040606752,1.0
plus,0.75,16,0.0,100,0.41695571663767184,0.005085924557657945,0.48390860829500215,0.0,0.0,0.0
plus,0.75,16,1.0,100,0.4049987877097039,0.004568031871472434,0.4729423109300173,0.011956928927967904,0.006464916436265693,0.55
plus,0.75,16,4.0,100,0.39339140977885606,0.003729998749246523,0.44327261044961375,0.023564306858815765,0.0062800117698550845,0.67
plus,0.75,16,16.0,100,0.36434518895360746,0.0024519536438413338,0.39556972689671255,0.05261052768406434,0.00524980253933926,0.84
plus,0.75,16,64.0,100,0.3370026137170175,0.0009565051650059239,0.349888743091306,0.07995310292065438,0.00498429542501607,0.93
plus,0.75,16,256.0,100,0.3339467420899809,0.0002943924530137415,0.3377046527614854,0.08300897454769095,0.0050323430637261675,0.95
plus,0.75,16,1024.0,100,0.3365352258421489,4.815272065460027e-5,0.33717604332465934,0.08042049079552292,0.005070591642922685,0.94
plus,0.75,16,4096.0,100,0.33598607878197134,9.334802591938732e-6,0.33609605027060163,0.08096963785570045,0.00508347553440143,0.94
plus,0.75,64,0.0,100,0.2984785898941994,0.004343354890838359,0.3564300363601864,0.0,0.0,0.0
plus,0.75,64,1.0,100,0.30284500723463,0.0044346845089993404,0.3615033759650928,-0.004366417340430509,0.004869722150367602,0.49
plus,0.75,64,4.0,100,0.294581191339079,0.0038287094409407323,0.3423608037497024,0.0038973985551204672,0.004902512021219081,0.54
plus,0.75,64,16.0,100,0.2920182827585222,0.003454436156759446,0.33257464218091015,0.006460307135677256,0.005002406387548283,0.54
plus,0.75,64,64.0,100,0.29255139850572065,0.002358050375469392,0.32432422887886014,0.005927191388478776,0.004225619371670591,0.6
plus,0.75,64,256.0,100,0.3072746672580797,0.0010527997693919584,0.3198669221484197,-0.008796077363880286,0.004306925838239095,0.34
plus,0.75,64,1024.0,100,0.32445829134517207,0.0003715479388127293,0.3284404476391372,-0.025979701450972573,0.0043613363182939706,0.23
plus,0.75,64,4096.0,100,0.3344383731346073,5.4973037586397486e-5,0.3351560248655235,-0.035959783240407786,0.0043337282497094174,0.17
plus,1.0,4,0.0,100,0.6129240233035437,0.010705417380532545,0.74515913336781,0.0,0.0,0.0
plus,1.0,4,1.0,100,0.5314696694524831,0.004738463726757686,0.5952592224974105,0.08145435385106062,0.012164644439229442,0.74
plus,1.0,4,4.0,100,0.4966543255951372,0.0028100352201154864,0.53323301778422,0.11626969770840652,0.011321336869398532,0.81
plus,1.0,4,16.0,100,0.4878869641248486,0.001293095021480619,0.5015878951816548,0.12503705917869512,0.010854618305642001,0.86
plus,1.0,4,64.0,100,0.4785753464539158,0.0002833678844870195,0.4818662285481105,0.134348676849628,0.010753007583223456,0.87
plus,1.0,4,256.0,100,0.477801438988765,5.157029711150791e-5,0.4784987311499886,0.13512258431477875,0.010709455817786083,0.88
plus,1.0,4,1024.0,100,0.4768678588418202,1.032319638893487e-5,0.4769998331588867,0.13605616446172347,0.010705493813767255,0.88
plus,1.0,4,4096.0,100,0.47652543600504993,2.3518491580957028e-6,0.4765536911139,0.13639858729849388,0.01070547046232027,0.88
plus,1.0,16,0.0,100,0.41695571663767184,0.005085924557657945,0.48390860829500215,0.0,0.0,0.0
plus,1.0,16,1.0,100,0.4235757507080049,0.004348111184438136,0.48520116988235884,-0.006620034070333061,0.006558078372328293,0.46
plus,1.0,16,4.0,100,0.42695272244251486,0.0039771070117173585,0.4744334885159865,-0.009997005804843077,0.006208579320547442,0.48
plus,1.0,16,16.0,100,0.42699339230394856,0.002856949135537074,0.46318903559530167,-0.010037675666276804,0.005499771375558601,0.44
plus,1.0,16,64.0,100,0.44012941095772823,0.0009117103142279077,0.45144837900672424,-0.023173694320056417,0.005005743600754811,0.33
plus,1.0,16,256.0,100,0.469065560223213,0.00033717601709321867,0.47254177480693316,-0.052109843585541105,0.005015144815808102,0.18
plus,1.0,16,1024.0,100,0.4764229153063447,5.587653745324175e-5,0.4769585339795382,-0.05946719866867292,0.0050711982156962186,0.14
plus,1.0,16,4096.0,100,0.4766773241159111,1.1734809238740882e-5,0.4768531534238231,-0.05972160747823937,0.005084135286904981,0.14
plus,1.0,64,0.0,100,0.2984785898941994,0.004343354890838359,0.3564300363601864,0.0,0.0,0.0
plus,1.0,64,1.0,100,0.3002951634395583,0.004083243558550212,0.3462546269062915,-0.001816573545358875,0.005440332933341392,0.46
plus,1.0,64,4.0,100,0.30152042923125594,0.0036525593006595724,0.3491877871401891,-0.0030418393370564363,0.004769489323628244,0.54
plus,1.0,64,16.0,100,0.3210433418268797,0.0035203560730685166,0.3620724312212453,-0.022564751932680264,0.005447026217351283,0.33
plus,1.0,64,64.0,100,0.35480820780349054,0.002726942740597958,0.38833682418215604,-0.05632961790929111,0.005277420339189666,0.12
plus,1.0,64,256.0,100,0.4049032773210732,0.0010788217925113736,0.4196637413215652,-0.10642468742687361,0.004552266742347658,0.01
plus,1.0,64,1024.0,100,0.4588708124479771,0.0004050533591819478,0.46332532737336996,-0.16039222255377758,0.004441909275389427,0.0
plus,1.0,64,4096.0,100,0.474351822913303,6.40980137375123e-5,0.47522628223407004,-0.1758732330191035,0.004335677883826005,0.0
vanilla,0.0,4,0.0,100,0.6067276195405562,0.010570236304360641,0.744443135980723,0.0,0.0,0.0
