name,source,transform,scale,threshold,exponent,clip,reach_power,regret_weight,strategy_weight,statistic_weight,search_player,runs,reward,stderr_reward,mean_steps,detection_rate,target_escaped_rate,observer_lost_rate,queries,max_depth,max_steps,search_epsilon,action_epsilon,elapsed_seconds,delta_vs_value_only
value_only,baseline,raw,0.0,0.0,1.0,,1.0,0.0,0.0,0.0,1,32,14.397160977291168,3.0632864705462195,36.4375,0.84375,0.0,0.71875,100,5,50,0.1,0.0,7.656418333,0.0
value_only,baseline,raw,0.0,0.0,1.0,,1.0,0.0,0.0,0.0,2,32,-10.09288797047515,1.4096498845946106,42.15625,0.75,0.3125,0.0,100,5,50,0.1,0.0,7.323174791,0.0
coupled_full_scale10,baseline,raw,10.0,0.0,1.0,,1.0,1.0,1.0,1.0,1,32,16.402261960906834,2.8345980387489114,36.28125,0.84375,0.0,0.75,100,5,50,0.1,0.0,8.293011416,2.005100983615666
coupled_full_scale10,baseline,raw,10.0,0.0,1.0,,1.0,1.0,1.0,1.0,2,32,-9.859423445026918,1.0821790335968335,39.78125,0.71875,0.40625,0.0,100,5,50,0.1,0.0,10.821572375,0.23346452544823215
baseline_raw_s2.5,baseline,raw,2.5,0.0,1.0,,1.0,1.0,0.0,0.0,1,32,22.13362146151747,3.120790463304384,41.9375,0.875,0.0,0.59375,100,5,50,0.1,0.0,11.353037375,7.736460484226303
baseline_raw_s2.5,baseline,raw,2.5,0.0,1.0,,1.0,1.0,0.0,0.0,2,32,-8.924769729321449,0.9156130078129232,39.8125,0.625,0.4375,0.0,100,5,50,0.1,0.0,9.979734875,1.1681182411537012
baseline_raw_s5.0,baseline,raw,5.0,0.0,1.0,,1.0,1.0,0.0,0.0,1,32,17.37643534018649,2.9093748124686796,38.21875,0.75,0.0,0.53125,100,5,50,0.1,0.0,8.539873667,2.979274362895321
baseline_raw_s5.0,baseline,raw,5.0,0.0,1.0,,1.0,1.0,0.0,0.0,2,32,-9.008987900030238,0.9804293878666914,40.09375,0.625,0.40625,0.0,100,5,50,0.1,0.0,9.024288417,1.083900070444912
baseline_raw_s10.0,baseline,raw,10.0,0.0,1.0,,1.0,1.0,0.0,0.0,1,32,19.974059058188654,3.898656279328674,38.53125,0.78125,0.0,0.625,100,5,50,0.1,0.0,8.715895167,5.576898080897486
baseline_raw_s10.0,baseline,raw,10.0,0.0,1.0,,1.0,1.0,0.0,0.0,2,32,-9.54621565389132,1.1814391569929568,39.375,0.6875,0.4375,0.0,100,5,50,0.1,0.0,8.800895208,0.5466723165838303
baseline_raw_s25.0,baseline,raw,25.0,0.0,1.0,,1.0,1.0,0.0,0.0,1,32,21.49371730737635,3.0082056949945026,41.40625,0.90625,0.0,0.46875,100,5,50,0.1,0.0,9.539610542,7.096556330085182
baseline_raw_s25.0,baseline,raw,25.0,0.0,1.0,,1.0,1.0,0.0,0.0,2,32,-9.591281379504512,1.2298659539877668,41.03125,0.65625,0.34375,0.0,100,5,50,0.1,0.0,9.100191458,0.5016065909706384
baseline_raw_s50.0,baseline,raw,50.0,0.0,1.0,,1.0,1.0,0.0,0.0,1,32,19.652520831089706,3.603899103520525,40.9375,0.8125,0.0,0.5,100,5,50,0.1,0.0,9.368958833,5.255359853798538
baseline_raw_s50.0,baseline,raw,50.0,0.0,1.0,,1.0,1.0,0.0,0.0,2,32,-8.504420828617267,0.8359377266451756,39.03125,0.625,0.46875,0.0,100,5,50,0.1,0.0,8.689430917,1.5884671418578833
baseline_raw_s100.0,baseline,raw,100.0,0.0,1.0,,1.0,1.0,0.0,0.0,1,32,12.478334631842529,2.5581549436665543,39.53125,0.8125,0.0,0.40625,100,5,50,0.1,0.0,9.46898075,-1.9188263454486396
baseline_raw_s100.0,baseline,raw,100.0,0.0,1.0,,1.0,1.0,0.0,0.0,2,32,-10.341124235345037,0.9706115755760533,38.0,0.71875,0.5,0.0,100,5,50,0.1,0.0,9.471145084,-0.24823626486988637
baseline_raw_s10_reach0.0,baseline,raw,10.0,0.0,1.0,,0.0,1.0,0.0,0.0,1,32,17.747907731609203,3.727852773118762,37.40625,0.8125,0.0,0.5625,100,5,50,0.1,0.0,9.87180075,3.3507467543180347
baseline_raw_s10_reach0.0,baseline,raw,10.0,0.0,1.0,,0.0,1.0,0.0,0.0,2,32,-10.472862717277723,1.2574313762686928,41.71875,0.6875,0.4375,0.0,100,5,50,0.1,0.0,10.776696958,-0.3799747468025725
baseline_raw_s10_reach0.5,baseline,raw,10.0,0.0,1.0,,0.5,1.0,0.0,0.0,1,32,15.082386824087619,3.242199687052306,34.65625,0.75,0.0,0.625,100,5,50,0.1,0.0,8.124670959,0.6852258467964507
baseline_raw_s10_reach0.5,baseline,raw,10.0,0.0,1.0,,0.5,1.0,0.0,0.0,2,32,-9.786363635471112,1.1784748159148684,42.8125,0.71875,0.34375,0.0,100,5,50,0.1,0.0,9.823589541,0.3065243350040383
baseline_raw_s10_reach2.0,baseline,raw,10.0,0.0,1.0,,2.0,1.0,0.0,0.0,1,32,20.453187060363444,3.304320756413676,41.3125,0.84375,0.0,0.4375,100,5,50,0.1,0.0,10.122410458,6.056026083072275
baseline_raw_s10_reach2.0,baseline,raw,10.0,0.0,1.0,,2.0,1.0,0.0,0.0,2,32,-9.169626678420473,1.0556292410123533,42.9375,0.6875,0.34375,0.0,100,5,50,0.1,0.0,9.967485584,0.9232612920546774
baseline_hard0.05_s10,baseline,hard_threshold,10.0,0.05,1.0,,1.0,1.0,0.0,0.0,1,32,22.19717254673416,3.427311306463952,40.46875,0.84375,0.0,0.53125,100,5,50,0.1,0.0,9.271178041,7.80001156944299
baseline_hard0.05_s10,baseline,hard_threshold,10.0,0.05,1.0,,1.0,1.0,0.0,0.0,2,32,-9.620187372256696,1.1506135021949406,42.09375,0.65625,0.375,0.0,100,5,50,0.1,0.0,9.660564125,0.472700598218454
baseline_soft0.05_s10,baseline,soft_threshold,10.0,0.05,1.0,,1.0,1.0,0.0,0.0,1,32,14.738753667616662,3.0351879341960504,36.84375,0.75,0.0,0.625,100,5,50,0.1,0.0,8.259932125,0.3415926903254931
baseline_soft0.05_s10,baseline,soft_threshold,10.0,0.05,1.0,,1.0,1.0,0.0,0.0,2,32,-10.153153813520785,1.4035809475158079,42.1875,0.75,0.375,0.0,100,5,50,0.1,0.0,9.575402125,-0.060265843045634426
baseline_hard0.1_s10,baseline,hard_threshold,10.0,0.1,1.0,,1.0,1.0,0.0,0.0,1,32,22.018170254000335,3.651188383518253,40.09375,0.8125,0.0,0.53125,100,5,50,0.1,0.0,9.239698625,7.621009276709167
baseline_hard0.1_s10,baseline,hard_threshold,10.0,0.1,1.0,,1.0,1.0,0.0,0.0,2,32,-9.919969005912758,1.1515444939450075,43.125,0.6875,0.375,0.0,100,5,50,0.1,0.0,9.815388417,0.17291896456239186
baseline_soft0.1_s10,baseline,soft_threshold,10.0,0.1,1.0,,1.0,1.0,0.0,0.0,1,32,17.494260809551054,3.1702001491538123,41.03125,0.78125,0.0,0.71875,100,5,50,0.1,0.0,9.454192083,3.097099832259886
baseline_soft0.1_s10,baseline,soft_threshold,10.0,0.1,1.0,,1.0,1.0,0.0,0.0,2,32,-7.896900429402436,1.0049409869437336,43.21875,0.65625,0.3125,0.0,100,5,50,0.1,0.0,10.88331375,2.1959875410727143
baseline_l1_s2.5,baseline,l1,2.5,0.0,1.0,,1.0,1.0,0.0,0.0,1,32,15.063729245493823,3.536082648349976,38.46875,0.78125,0.0,0.625,100,5,50,0.1,0.0,8.875344417,0.6665682682026546
baseline_l1_s2.5,baseline,l1,2.5,0.0,1.0,,1.0,1.0,0.0,0.0,2,32,-9.020477540245494,1.4425365104104322,40.78125,0.625,0.375,0.0,100,5,50,0.1,0.0,9.386064792,1.072410430229656
baseline_top1_s5.0,baseline,top1,5.0,0.0,1.0,,1.0,1.0,0.0,0.0,1,32,16.446861224658242,3.0717092008381175,38.4375,0.8125,0.0,0.5,100,5,50,0.1,0.0,8.909777667,2.049700247367074
baseline_top1_s5.0,baseline,top1,5.0,0.0,1.0,,1.0,1.0,0.0,0.0,2,32,-9.780079521727908,1.1246901945007637,40.34375,0.65625,0.4375,0.0,100,5,50,0.1,0.0,9.088939916,0.31280844874724245
baseline_l1_s5.0,baseline,l1,5.0,0.0,1.0,,1.0,1.0,0.0,0.0,1,32,16.722379257375785,3.2200298067878577,39.4375,0.8125,0.0,0.59375,100,5,50,0.1,0.0,9.26883975,2.3252182800846164
baseline_l1_s5.0,baseline,l1,5.0,0.0,1.0,,1.0,1.0,0.0,0.0,2,32,-9.249627241229453,1.118445230252025,44.1875,0.625,0.3125,0.0,100,5,50,0.1,0.0,10.24318725,0.8432607292456975
baseline_top1_s10.0,baseline,top1,10.0,0.0,1.0,,1.0,1.0,0.0,0.0,1,32,18.428588797395093,3.1937409604235363,41.625,0.84375,0.0,0.46875,100,5,50,0.1,0.0,9.703436166,4.031427820103925
baseline_top1_s10.0,baseline,top1,10.0,0.0,1.0,,1.0,1.0,0.0,0.0,2,32,-11.149894899479019,1.3742440100232818,40.625,0.6875,0.375,0.0,100,5,50,0.1,0.0,9.363726083,-1.0570069290038688
baseline_l1_s10.0,baseline,l1,10.0,0.0,1.0,,1.0,1.0,0.0,0.0,1,32,18.455018600219383,3.0585415150425215,39.59375,0.875,0.0,0.46875,100,5,50,0.1,0.0,9.465555959,4.057857622928214
baseline_l1_s10.0,baseline,l1,10.0,0.0,1.0,,1.0,1.0,0.0,0.0,2,32,-9.715243857425657,0.9306476235719188,37.6875,0.6875,0.5,0.0,100,5,50,0.1,0.0,8.856008,0.3776441130494934
baseline_top1_s25.0,baseline,top1,25.0,0.0,1.0,,1.0,1.0,0.0,0.0,1,32,15.119969229545326,3.125272049835829,42.78125,0.8125,0.0,0.34375,100,5,50,0.1,0.0,10.026775209,0.7228082522541577
baseline_top1_s25.0,baseline,top1,25.0,0.0,1.0,,1.0,1.0,0.0,0.0,2,32,-8.92578079170098,0.9972472793417699,44.0,0.6875,0.375,0.0,100,5,50,0.1,0.0,9.978247375,1.1671071787741703
baseline_gap_l1_s10.0,baseline,gap_l1,10.0,0.0,1.0,,1.0,1.0,0.0,0.0,1,32,17.172867459275494,3.1000605289394247,41.5,0.8125,0.0,0.53125,100,5,50,0.1,0.0,9.704536125,2.775706481984326
baseline_gap_l1_s10.0,baseline,gap_l1,10.0,0.0,1.0,,1.0,1.0,0.0,0.0,2,32,-9.68320639333628,1.1495760782052702,40.125,0.71875,0.375,0.0,100,5,50,0.1,0.0,9.280548333,0.4096815771388709
baseline_gap_l1_s25.0,baseline,gap_l1,25.0,0.0,1.0,,1.0,1.0,0.0,0.0,1,32,18.194327599980333,3.378780866824171,38.1875,0.84375,0.0,0.5625,100,5,50,0.1,0.0,8.997871083,3.797166622689165
baseline_gap_l1_s25.0,baseline,gap_l1,25.0,0.0,1.0,,1.0,1.0,0.0,0.0,2,32,-9.716530604537331,1.0365154577824174,38.4375,0.65625,0.5,0.0,100,5,50,0.1,0.0,8.577868625,0.3763573659378192
hurdle_raw_s5.0,hurdle,raw,5.0,0.0,1.0,,1.0,1.0,0.0,0.0,1,32,17.862907692216698,2.8421151594975087,39.09375,0.875,0.0,0.6875,100,5,50,0.1,0.0,9.094520875,3.4657467149255297
hurdle_raw_s5.0,hurdle,raw,5.0,0.0,1.0,,1.0,1.0,0.0,0.0,2,32,-9.983061210352362,1.1407098283503996,40.25,0.65625,0.5,0.0,100,5,50,0.1,0.0,9.409915375,0.1098267601227878
hurdle_raw_s10.0,hurdle,raw,10.0,0.0,1.0,,1.0,1.0,0.0,0.0,1,32,13.560340930992059,2.5637322493415526,34.71875,0.78125,0.0,0.75,100,5,50,0.1,0.0,8.072869209,-0.8368200462991098
hurdle_raw_s10.0,hurdle,raw,10.0,0.0,1.0,,1.0,1.0,0.0,0.0,2,32,-9.562273632920716,0.8539209432978745,41.09375,0.6875,0.40625,0.0,100,5,50,0.1,0.0,9.57563675,0.5306143375544341
hurdle_raw_s25.0,hurdle,raw,25.0,0.0,1.0,,1.0,1.0,0.0,0.0,1,32,18.97442175084048,3.3030337023286815,36.59375,0.75,0.0,0.71875,100,5,50,0.1,0.0,8.478093917,4.5772607735493125
hurdle_raw_s25.0,hurdle,raw,25.0,0.0,1.0,,1.0,1.0,0.0,0.0,2,32,-9.748845901425256,1.062068524959233,38.71875,0.625,0.5,0.0,100,5,50,0.1,0.0,8.865495792,0.34404206904989465
hurdle_top1_s10.0,hurdle,top1,10.0,0.0,1.0,,1.0,1.0,0.0,0.0,1,32,19.320420606243736,3.6107394259752916,36.78125,0.875,0.0,0.6875,100,5,50,0.1,0.0,8.437151959,4.923259628952568
hurdle_top1_s10.0,hurdle,top1,10.0,0.0,1.0,,1.0,1.0,0.0,0.0,2,32,-10.486224360623282,0.9256593300663141,42.0625,0.75,0.40625,0.0,100,5,50,0.1,0.0,9.196830667,-0.39333639014813215
hurdle_l1_s5.0,hurdle,l1,5.0,0.0,1.0,,1.0,1.0,0.0,0.0,1,32,15.788047960410685,2.830116785382727,35.46875,0.90625,0.0,0.78125,100,5,50,0.1,0.0,8.383995791,1.3908869831195165
hurdle_l1_s5.0,hurdle,l1,5.0,0.0,1.0,,1.0,1.0,0.0,0.0,2,32,-9.239158529546998,1.1982441595475986,39.75,0.59375,0.4375,0.0,100,5,50,0.1,0.0,9.3172545,0.8537294409281522
hurdle_l1_s10.0,hurdle,l1,10.0,0.0,1.0,,1.0,1.0,0.0,0.0,1,32,16.730933355668526,3.503302356328047,33.8125,0.78125,0.0,0.84375,100,5,50,0.1,0.0,7.973481333,2.3337723783773576
hurdle_l1_s10.0,hurdle,l1,10.0,0.0,1.0,,1.0,1.0,0.0,0.0,2,32,-9.469763081820668,1.1261732971443346,40.75,0.65625,0.4375,0.0,100,5,50,0.1,0.0,9.640553875,0.6231248886544822
